1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
alternasi	a l t ə r n a s i 
altérnatif	a l t e r n a t i f 
alternator	a l t ə r n a t o r 
altiméter	a l t i m e t ə r 
alto	a l t o 
altruis	a l t r u i s 
altruisme	a l t r u i s m ə 
altruistis	a l t r u i s t i s 
alu	a l u 
aluan	a l u a n 
alum	a l u m 
aluminium	a l u m i n i u m 
alumni	a l u m n i 
alumnus	a l u m n u s 
alun	a l u n 
alunan	a l u n a n 
alung	a l u ŋ 
alup	a l u p 
alur	a l u r 
al-ur’an	a l - u r ʔ a n 
aluran	a l u r a n 
alurnya	a l u r ɲ a 
aluvial	a l u v i a l 
aluvium	a l u v i u m 
alvéolus	a l v e o l u s 
alveolus	a l v ə o l u s 
alwah	a l w a h 
alwasi	a l w a s i 
ama	a m a 
amabakdu	a m a b a ʔ d u 
amah	a m a h 
amal	a m a l 
amalan	a m a l a n 
amalannya	a m a l a n ɲ a 
amalgam	a m a l g a m 
amalgamasi	a m a l g a m a s i 
amaliah	a m a l i a h 
amali	a m a l i 
am	a m 
amanah	a m a n a h 
aman	a m a n 
amanat	a m a n a t 
amandel	a m a n d ə l 
amang	a m a ŋ 
amantu	a m a n t u 
amarah	a m a r a h 
amarahnya	a m a r a h ɲ a 
amar	a m a r 
amaran	a m a r a n 
amat	a m a t 
amatan	a m a t a n 
amatir	a m a t i r 
amatirisme	a m a t i r i s m ə 
amatlah	a m a t l a h 
amatur	a m a t u r 
ambah	a m b a h 
ambai	a m b a i 
ambaian	a m b a i a n 
ambak	a m b a ʔ 
ambal	a m b a l 
ambalan	a m b a l a n 
ambang	a m b a ŋ 
ambar	a m b a r 
ambarau	a m b a r a u 
ambasade	a m b a s a d ə 
ambasador	a m b a s a d o r 
ambau	a m b a u 
ambéien	a m b e i ə n 
ambek	a m b ə ʔ 
ambekan	a m b ə k a n 
ambén	a m b e n 
amben	a m b ə n 
ambet	a m b ə t 
ambigu	a m b i g u 
ambiguitas	a m b i g u i t a s 
